day,report_date,geoid,county,state,last_update,confirmed,confirmed_rate
1,2020-03-26,17019,Champaign,Illinois,2020-03-26T23:48:35Z,10,0.047744547572667204
2,2020-03-27,17019,Champaign,Illinois,2020-03-27T22:14:55Z,10,0.047744547572667204
3,2020-03-28,17019,Champaign,Illinois,2020-03-28T23:05:37Z,11,0.05251900232993392
4,2020-03-29,17019,Champaign,Illinois,2020-03-29T23:08:25Z,21,0.10026354990260113
5,2020-03-30,17019,Champaign,Illinois,2020-03-30T22:52:45Z,23,0.10981245941713456
6,2020-03-31,17019,Champaign,Illinois,2020-03-31T05:00:01Z,26,0.12413582368893473
7,2020-04-01,17019,Champaign,Illinois,2020-04-01T05:00:01Z,33,0.15755700698980177
8,2020-04-02,17019,Champaign,Illinois,2020-04-02T05:00:01Z,43,0.20530155456246896
9,2020-04-03,17019,Champaign,Illinois,2020-04-03T05:00:01Z,51,0.24349719262060274
10,2020-04-04,17019,Champaign,Illinois,2020-04-04T05:00:01Z,55,0.26259501164966964
11,2020-04-05,17019,Champaign,Illinois,2020-04-05T05:00:01Z,55,0.26259501164966964
12,2020-04-06,17019,Champaign,Illinois,2020-04-06T05:00:01Z,62,0.29601619495053666
1,2020-03-30,17021,Christian,Illinois,2020-03-30T22:52:45Z,12,0.3611086034124763
2,2020-03-31,17021,Christian,Illinois,2020-03-31T05:00:01Z,13,0.39120098703018263
3,2020-04-01,17021,Christian,Illinois,2020-04-01T05:00:01Z,14,0.421293370647889
4,2020-04-02,17021,Christian,Illinois,2020-04-02T05:00:01Z,15,0.45138575426559535
5,2020-04-03,17021,Christian,Illinois,2020-04-03T05:00:01Z,17,0.5115705215010081
6,2020-04-04,17021,Christian,Illinois,2020-04-04T05:00:01Z,17,0.5115705215010081
7,2020-04-05,17021,Christian,Illinois,2020-04-05T05:00:01Z,20,0.6018476723541272
8,2020-04-06,17021,Christian,Illinois,2020-04-06T05:00:01Z,22,0.66203243958954
1,2020-04-04,17027,Clinton,Illinois,2020-04-04T05:00:01Z,10,0.26575954076751357
2,2020-04-05,17027,Clinton,Illinois,2020-04-05T05:00:01Z,10,0.26575954076751357
3,2020-04-06,17027,Clinton,Illinois,2020-04-06T05:00:01Z,11,0.2923354948442649
1,2020-03-09,17031,Cook,Illinois,2020-04-06T05:00:01Z,11,0.0021057794264967163
2,2020-03-10,17031,Cook,Illinois,2020-04-06T05:00:01Z,17,0.003254386386404016
3,2020-03-11,17031,Cook,Illinois,2020-04-06T05:00:01Z,22,0.004211558852993433
4,2020-03-12,17031,Cook,Illinois,2020-04-06T05:00:01Z,27,0.005168731319582849
5,2020-03-13,17031,Cook,Illinois,2020-04-06T05:00:01Z,40,0.007657379732715333
6,2020-03-14,17031,Cook,Illinois,2020-04-06T05:00:01Z,51,0.009763159159212048
7,2020-03-15,17031,Cook,Illinois,2020-04-06T05:00:01Z,76,0.01454902149215913
8,2020-03-16,17031,Cook,Illinois,2020-04-06T05:00:01Z,76,0.01454902149215913
9,2020-03-17,17031,Cook,Illinois,2020-04-06T05:00:01Z,107,0.020483490785013513
10,2020-03-18,17031,Cook,Illinois,2020-04-06T05:00:01Z,179,0.034266774303901106
11,2020-03-19,17031,Cook,Illinois,2020-04-06T05:00:01Z,279,0.05341022363568944
12,2020-03-20,17031,Cook,Illinois,2020-04-06T05:00:01Z,412,0.07887101124696791
13,2020-03-21,17031,Cook,Illinois,2020-04-06T05:00:01Z,548,0.10490610233820005
14,2020-03-22,17031,Cook,Illinois,2020-03-22T23:45:00Z,805,0.15410476712089607
15,2020-03-23,17031,Cook,Illinois,2020-03-23T23:19:34Z,922,0.1765026028390884
16,2020-03-24,17031,Cook,Illinois,2020-03-24T23:37:31Z,1194,0.22857278502155268
17,2020-03-25,17031,Cook,Illinois,2020-03-25T23:33:19Z,1418,0.2714541115247585
18,2020-03-26,17031,Cook,Illinois,2020-03-26T23:48:35Z,1418,0.2714541115247585
19,2020-03-27,17031,Cook,Illinois,2020-03-27T22:14:55Z,2239,0.4286218305387407
20,2020-03-28,17031,Cook,Illinois,2020-03-28T23:05:37Z,2613,0.5002183310396291
21,2020-03-29,17031,Cook,Illinois,2020-03-29T23:08:25Z,3445,0.659491829480108
22,2020-03-30,17031,Cook,Illinois,2020-03-30T22:52:45Z,3727,0.713476356595751
23,2020-03-31,17031,Cook,Illinois,2020-03-31T05:00:01Z,4496,0.8606894819572033
24,2020-04-01,17031,Cook,Illinois,2020-04-01T05:00:01Z,5152,0.9862705095737347
25,2020-04-02,17031,Cook,Illinois,2020-04-02T05:00:01Z,5575,1.0672473002471994
26,2020-04-03,17031,Cook,Illinois,2020-04-03T05:00:01Z,6111,1.1698561886655847
27,2020-04-04,17031,Cook,Illinois,2020-04-04T05:00:01Z,7439,1.4240811957917336
28,2020-04-05,17031,Cook,Illinois,2020-04-05T05:00:01Z,8034,1.5379847193158742
29,2020-04-06,17031,Cook,Illinois,2020-04-06T05:00:01Z,8728,1.6708402576784853
1,2020-04-01,17037,DeKalb,Illinois,2020-04-01T05:00:01Z,14,0.1343570057581574
2,2020-04-02,17037,DeKalb,Illinois,2020-04-02T05:00:01Z,16,0.15355086372360843
3,2020-04-03,17037,DeKalb,Illinois,2020-04-03T05:00:01Z,16,0.15355086372360843
4,2020-04-04,17037,DeKalb,Illinois,2020-04-04T05:00:01Z,19,0.18234165067178504
5,2020-04-05,17037,DeKalb,Illinois,2020-04-05T05:00:01Z,22,0.21113243761996162
6,2020-04-06,17037,DeKalb,Illinois,2020-04-06T05:00:01Z,22,0.21113243761996162
1,2020-04-06,17041,Douglas,Illinois,2020-04-06T05:00:01Z,10,0.5072537283149031
1,2020-03-17,17043,DuPage,Illinois,2020-04-06T05:00:01Z,26,0.027904690456488537
2,2020-03-18,17043,DuPage,Illinois,2020-04-06T05:00:01Z,45,0.04829657963623016
3,2020-03-19,17043,DuPage,Illinois,2020-04-06T05:00:01Z,54,0.0579558955634762
4,2020-03-20,17043,DuPage,Illinois,2020-04-06T05:00:01Z,57,0.061175667539224876
5,2020-03-21,17043,DuPage,Illinois,2020-04-06T05:00:01Z,68,0.07298149811697002
6,2020-03-22,17043,DuPage,Illinois,2020-03-22T23:45:00Z,79,0.08478732869471518
7,2020-03-23,17043,DuPage,Illinois,2020-03-23T23:19:34Z,95,0.10195944589870813
8,2020-03-24,17043,DuPage,Illinois,2020-03-24T23:37:31Z,103,0.11054550450070459
9,2020-03-25,17043,DuPage,Illinois,2020-03-25T23:33:19Z,131,0.14059670960769227
10,2020-03-26,17043,DuPage,Illinois,2020-03-26T23:48:35Z,131,0.14059670960769227
11,2020-03-27,17043,DuPage,Illinois,2020-03-27T22:14:55Z,199,0.21357820772466227
12,2020-03-28,17043,DuPage,Illinois,2020-03-28T23:05:37Z,202,0.21679797970041095
13,2020-03-29,17043,DuPage,Illinois,2020-03-29T23:08:25Z,274,0.29407250711837923
