day,report_date,geoid,county,state,last_update,confirmed_avg
1,2020-03-17,17031,Cook,Illinois,2020-04-12 00:00:01,12.857142857142858
2,2020-03-18,17031,Cook,Illinois,2020-04-12 00:00:01,22.428571428571427
3,2020-03-19,17031,Cook,Illinois,2020-04-12 00:00:01,36
4,2020-03-20,17031,Cook,Illinois,2020-04-12 00:00:01,53.142857142857146
5,2020-03-21,17031,Cook,Illinois,2020-04-12 00:00:01,71
6,2020-03-22,17031,Cook,Illinois,2020-04-12 00:00:01,104.14285714285714
7,2020-03-23,17031,Cook,Illinois,2020-04-12 00:00:01,120.85714285714286
8,2020-03-24,17031,Cook,Illinois,2020-04-12 00:00:01,155.28571428571428
9,2020-03-25,17031,Cook,Illinois,2020-04-12 00:00:01,177
10,2020-03-26,17031,Cook,Illinois,2020-04-12 00:00:01,232.14285714285714
11,2020-03-27,17031,Cook,Illinois,2020-04-12 00:00:01,261
12,2020-03-28,17031,Cook,Illinois,2020-04-12 00:00:01,295
13,2020-03-29,17031,Cook,Illinois,2020-04-12 00:00:01,377.14285714285717
14,2020-03-30,17031,Cook,Illinois,2020-04-12 00:00:01,400.7142857142857
15,2020-03-31,17031,Cook,Illinois,2020-04-12 00:00:01,471.7142857142857
16,2020-04-01,17031,Cook,Illinois,2020-04-12 00:00:01,533.4285714285714
17,2020-04-02,17031,Cook,Illinois,2020-04-12 00:00:01,524.4285714285714
18,2020-04-03,17031,Cook,Illinois,2020-04-12 00:00:01,604.8571428571429
19,2020-04-04,17031,Cook,Illinois,2020-04-12 00:00:01,689.4285714285714
20,2020-04-05,17031,Cook,Illinois,2020-04-12 00:00:01,656.8571428571429
21,2020-04-06,17031,Cook,Illinois,2020-04-12 00:00:01,714.4285714285714
22,2020-04-07,17031,Cook,Illinois,2020-04-12 00:00:01,716.1428571428571
23,2020-04-08,17031,Cook,Illinois,2020-04-12 00:00:01,766.8571428571429
24,2020-04-09,17031,Cook,Illinois,2020-04-12 00:00:01,834.2857142857143
25,2020-04-10,17031,Cook,Illinois,2020-04-12 00:00:01,857
26,2020-04-11,17031,Cook,Illinois,2020-04-12 00:00:01,854
27,2020-04-12,17031,Cook,Illinois,2020-04-12 00:00:01,934.5714285714286
1,2020-03-22,17043,DuPage,Illinois,2020-04-12 00:00:01,11.142857142857142
2,2020-03-23,17043,DuPage,Illinois,2020-04-12 00:00:01,12.857142857142858
3,2020-03-24,17043,DuPage,Illinois,2020-04-12 00:00:01,11
4,2020-03-25,17043,DuPage,Illinois,2020-04-12 00:00:01,12.285714285714286
5,2020-03-26,17043,DuPage,Illinois,2020-04-12 00:00:01,18.285714285714285
6,2020-03-27,17043,DuPage,Illinois,2020-04-12 00:00:01,20.285714285714285
7,2020-03-28,17043,DuPage,Illinois,2020-04-12 00:00:01,19.142857142857142
8,2020-03-29,17043,DuPage,Illinois,2020-04-12 00:00:01,27.857142857142858
9,2020-03-30,17043,DuPage,Illinois,2020-04-12 00:00:01,32.142857142857146
10,2020-03-31,17043,DuPage,Illinois,2020-04-12 00:00:01,36.142857142857146
11,2020-04-01,17043,DuPage,Illinois,2020-04-12 00:00:01,37.285714285714285
12,2020-04-02,17043,DuPage,Illinois,2020-04-12 00:00:01,38
13,2020-04-03,17043,DuPage,Illinois,2020-04-12 00:00:01,43
14,2020-04-04,17043,DuPage,Illinois,2020-04-12 00:00:01,55.42857142857143
15,2020-04-05,17043,DuPage,Illinois,2020-04-12 00:00:01,54.57142857142857
16,2020-04-06,17043,DuPage,Illinois,2020-04-12 00:00:01,56.42857142857143
17,2020-04-07,17043,DuPage,Illinois,2020-04-12 00:00:01,62.714285714285715
18,2020-04-08,17043,DuPage,Illinois,2020-04-12 00:00:01,69
19,2020-04-09,17043,DuPage,Illinois,2020-04-12 00:00:01,70.71428571428571
20,2020-04-10,17043,DuPage,Illinois,2020-04-12 00:00:01,72.57142857142857
21,2020-04-11,17043,DuPage,Illinois,2020-04-12 00:00:01,65.42857142857143
22,2020-04-12,17043,DuPage,Illinois,2020-04-12 00:00:01,72.28571428571429
1,2020-03-28,17089,Kane,Illinois,2020-04-12 00:00:01,11.714285714285714
2,2020-03-29,17089,Kane,Illinois,2020-04-12 00:00:01,12.428571428571429
3,2020-03-30,17089,Kane,Illinois,2020-04-12 00:00:01,12.857142857142858
4,2020-03-31,17089,Kane,Illinois,2020-04-12 00:00:01,14.857142857142858
5,2020-04-01,17089,Kane,Illinois,2020-04-12 00:00:01,14.857142857142858
6,2020-04-02,17089,Kane,Illinois,2020-04-12 00:00:01,13.857142857142858
7,2020-04-03,17089,Kane,Illinois,2020-04-12 00:00:01,14.142857142857142
8,2020-04-04,17089,Kane,Illinois,2020-04-12 00:00:01,16.714285714285715
9,2020-04-05,17089,Kane,Illinois,2020-04-12 00:00:01,17.142857142857142
10,2020-04-06,17089,Kane,Illinois,2020-04-12 00:00:01,17.285714285714285
11,2020-04-07,17089,Kane,Illinois,2020-04-12 00:00:01,18.142857142857142
12,2020-04-08,17089,Kane,Illinois,2020-04-12 00:00:01,22
13,2020-04-09,17089,Kane,Illinois,2020-04-12 00:00:01,23.428571428571427
14,2020-04-10,17089,Kane,Illinois,2020-04-12 00:00:01,23.285714285714285
15,2020-04-11,17089,Kane,Illinois,2020-04-12 00:00:01,24.142857142857142
16,2020-04-12,17089,Kane,Illinois,2020-04-12 00:00:01,26.142857142857142
1,2020-04-07,17091,Kankakee,Illinois,2020-04-12 00:00:01,11.571428571428571
2,2020-04-08,17091,Kankakee,Illinois,2020-04-12 00:00:01,12.571428571428571
3,2020-04-09,17091,Kankakee,Illinois,2020-04-12 00:00:01,13.857142857142858
4,2020-04-10,17091,Kankakee,Illinois,2020-04-12 00:00:01,14.142857142857142
5,2020-04-11,17091,Kankakee,Illinois,2020-04-12 00:00:01,15.857142857142858
6,2020-04-12,17091,Kankakee,Illinois,2020-04-12 00:00:01,18.285714285714285
1,2020-03-23,17097,Lake,Illinois,2020-04-12 00:00:01,12.857142857142858
2,2020-03-24,17097,Lake,Illinois,2020-04-12 00:00:01,14.857142857142858
3,2020-03-25,17097,Lake,Illinois,2020-04-12 00:00:01,17.285714285714285
4,2020-03-26,17097,Lake,Illinois,2020-04-12 00:00:01,21.142857142857142
5,2020-03-27,17097,Lake,Illinois,2020-04-12 00:00:01,25.428571428571427
6,2020-03-28,17097,Lake,Illinois,2020-04-12 00:00:01,28.714285714285715
7,2020-03-29,17097,Lake,Illinois,2020-04-12 00:00:01,33
8,2020-03-30,17097,Lake,Illinois,2020-04-12 00:00:01,35.285714285714285
9,2020-03-31,17097,Lake,Illinois,2020-04-12 00:00:01,39.714285714285715
10,2020-04-01,17097,Lake,Illinois,2020-04-12 00:00:01,48.285714285714285
11,2020-04-02,17097,Lake,Illinois,2020-04-12 00:00:01,50.714285714285715
12,2020-04-03,17097,Lake,Illinois,2020-04-12 00:00:01,54
13,2020-04-04,17097,Lake,Illinois,2020-04-12 00:00:01,60.714285714285715
14,2020-04-05,17097,Lake,Illinois,2020-04-12 00:00:01,63.142857142857146
15,2020-04-06,17097,Lake,Illinois,2020-04-12 00:00:01,67.42857142857143
16,2020-04-07,17097,Lake,Illinois,2020-04-12 00:00:01,76.57142857142857
17,2020-04-08,17097,Lake,Illinois,2020-04-12 00:00:01,80.57142857142857
18,2020-04-09,17097,Lake,Illinois,2020-04-12 00:00:01,83.42857142857143
19,2020-04-10,17097,Lake,Illinois,2020-04-12 00:00:01,88.85714285714286
20,2020-04-11,17097,Lake,Illinois,2020-04-12 00:00:01,91.71428571428571
21,2020-04-12,17097,Lake,Illinois,2020-04-12 00:00:01,100.42857142857143
1,2020-04-10,17119,Madison,Illinois,2020-04-12 00:00:01,10
1,2020-04-04,17111,McHenry,Illinois,2020-04-12 00:00:01,10.714285714285714
2,2020-04-05,17111,McHenry,Illinois,2020-04-12 00:00:01,11.571428571428571
3,2020-04-06,17111,McHenry,Illinois,2020-04-12 00:00:01,13.142857142857142
4,2020-04-07,17111,McHenry,Illinois,2020-04-12 00:00:01,13.285714285714286
5,2020-04-08,17111,McHenry,Illinois,2020-04-12 00:00:01,15.857142857142858
6,2020-04-09,17111,McHenry,Illinois,2020-04-12 00:00:01,16.714285714285715
7,2020-04-10,17111,McHenry,Illinois,2020-04-12 00:00:01,14.857142857142858
8,2020-04-11,17111,McHenry,Illinois,2020-04-12 00:00:01,14
9,2020-04-12,17111,McHenry,Illinois,2020-04-12 00:00:01,14.571428571428571
1,2020-04-08,17163,St. Clair,Illinois,2020-04-12 00:00:01,10.571428571428571
2,2020-04-09,17163,St. Clair,Illinois,2020-04-12 00:00:01,12.714285714285714
3,2020-04-10,17163,St. Clair,Illinois,2020-04-12 00:00:01,14.571428571428571
4,2020-04-11,17163,St. Clair,Illinois,2020-04-12 00:00:01,13.285714285714286
5,2020-04-12,17163,St. Clair,Illinois,2020-04-12 00:00:01,14.714285714285714
1,2020-03-27,17197,Will,Illinois,2020-04-12 00:00:01,13.142857142857142
2,2020-03-28,17197,Will,Illinois,2020-04-12 00:00:01,20.571428571428573
3,2020-03-29,17197,Will,Illinois,2020-04-12 00:00:01,24.428571428571427
4,2020-03-30,17197,Will,Illinois,2020-04-12 00:00:01,28.571428571428573
5,2020-03-31,17197,Will,Illinois,2020-04-12 00:00:01,29.142857142857142
6,2020-04-01,17197,Will,Illinois,2020-04-12 00:00:01,38.857142857142854
7,2020-04-02,17197,Will,Illinois,2020-04-12 00:00:01,45.285714285714285
8,2020-04-03,17197,Will,Illinois,2020-04-12 00:00:01,50.142857142857146
9,2020-04-04,17197,Will,Illinois,2020-04-12 00:00:01,64.28571428571429
10,2020-04-05,17197,Will,Illinois,2020-04-12 00:00:01,68
11,2020-04-06,17197,Will,Illinois,2020-04-12 00:00:01,67.57142857142857
