day,report_date,geoid,county,state,last_update,deaths
1,2020-04-04,17021,Christian,Illinois,2020-04-12 00:00:01,3
2,2020-04-05,17021,Christian,Illinois,2020-04-12 00:00:01,3
3,2020-04-06,17021,Christian,Illinois,2020-04-12 00:00:01,3
4,2020-04-07,17021,Christian,Illinois,2020-04-12 00:00:01,4
5,2020-04-08,17021,Christian,Illinois,2020-04-12 00:00:01,4
6,2020-04-09,17021,Christian,Illinois,2020-04-12 00:00:01,4
7,2020-04-10,17021,Christian,Illinois,2020-04-12 00:00:01,4
8,2020-04-11,17021,Christian,Illinois,2020-04-12 00:00:01,4
9,2020-04-12,17021,Christian,Illinois,2020-04-12 00:00:01,3
1,2020-03-20,17031,Cook,Illinois,2020-04-12 00:00:01,3
2,2020-03-21,17031,Cook,Illinois,2020-04-12 00:00:01,4
3,2020-03-22,17031,Cook,Illinois,2020-04-12 00:00:01,6
4,2020-03-23,17031,Cook,Illinois,2020-04-12 00:00:01,9
5,2020-03-24,17031,Cook,Illinois,2020-04-12 00:00:01,12
6,2020-03-25,17031,Cook,Illinois,2020-04-12 00:00:01,13
7,2020-03-26,17031,Cook,Illinois,2020-04-12 00:00:01,18
8,2020-03-27,17031,Cook,Illinois,2020-04-12 00:00:01,20
9,2020-03-28,17031,Cook,Illinois,2020-04-12 00:00:01,28
10,2020-03-29,17031,Cook,Illinois,2020-04-12 00:00:01,40
11,2020-03-30,17031,Cook,Illinois,2020-04-12 00:00:01,44
12,2020-03-31,17031,Cook,Illinois,2020-04-12 00:00:01,61
13,2020-04-01,17031,Cook,Illinois,2020-04-12 00:00:01,95
14,2020-04-02,17031,Cook,Illinois,2020-04-12 00:00:01,107
15,2020-04-03,17031,Cook,Illinois,2020-04-12 00:00:01,141
16,2020-04-04,17031,Cook,Illinois,2020-04-12 00:00:01,167
17,2020-04-05,17031,Cook,Illinois,2020-04-12 00:00:01,186
18,2020-04-06,17031,Cook,Illinois,2020-04-12 00:00:01,209
19,2020-04-07,17031,Cook,Illinois,2020-04-12 00:00:01,249
20,2020-04-08,17031,Cook,Illinois,2020-04-12 00:00:01,312
21,2020-04-09,17031,Cook,Illinois,2020-04-12 00:00:01,351
22,2020-04-10,17031,Cook,Illinois,2020-04-12 00:00:01,398
23,2020-04-11,17031,Cook,Illinois,2020-04-12 00:00:01,453
24,2020-04-12,17031,Cook,Illinois,2020-04-12 00:00:01,485
1,2020-03-27,17043,DuPage,Illinois,2020-04-12 00:00:01,6
2,2020-03-28,17043,DuPage,Illinois,2020-04-12 00:00:01,6
3,2020-03-29,17043,DuPage,Illinois,2020-04-12 00:00:01,7
4,2020-03-30,17043,DuPage,Illinois,2020-04-12 00:00:01,8
5,2020-03-31,17043,DuPage,Illinois,2020-04-12 00:00:01,10
6,2020-04-01,17043,DuPage,Illinois,2020-04-12 00:00:01,12
7,2020-04-02,17043,DuPage,Illinois,2020-04-12 00:00:01,14
8,2020-04-03,17043,DuPage,Illinois,2020-04-12 00:00:01,16
9,2020-04-04,17043,DuPage,Illinois,2020-04-12 00:00:01,18
10,2020-04-05,17043,DuPage,Illinois,2020-04-12 00:00:01,22
11,2020-04-06,17043,DuPage,Illinois,2020-04-12 00:00:01,22
12,2020-04-07,17043,DuPage,Illinois,2020-04-12 00:00:01,26
13,2020-04-08,17043,DuPage,Illinois,2020-04-12 00:00:01,30
14,2020-04-09,17043,DuPage,Illinois,2020-04-12 00:00:01,36
15,2020-04-10,17043,DuPage,Illinois,2020-04-12 00:00:01,42
16,2020-04-11,17043,DuPage,Illinois,2020-04-12 00:00:01,48
17,2020-04-12,17043,DuPage,Illinois,2020-04-12 00:00:01,50
1,2020-03-28,17089,Kane,Illinois,2020-04-12 00:00:01,4
2,2020-03-29,17089,Kane,Illinois,2020-04-12 00:00:01,7
3,2020-03-30,17089,Kane,Illinois,2020-04-12 00:00:01,7
4,2020-03-31,17089,Kane,Illinois,2020-04-12 00:00:01,7
5,2020-04-01,17089,Kane,Illinois,2020-04-12 00:00:01,8
6,2020-04-02,17089,Kane,Illinois,2020-04-12 00:00:01,8
7,2020-04-03,17089,Kane,Illinois,2020-04-12 00:00:01,9
8,2020-04-04,17089,Kane,Illinois,2020-04-12 00:00:01,12
9,2020-04-05,17089,Kane,Illinois,2020-04-12 00:00:01,15
10,2020-04-06,17089,Kane,Illinois,2020-04-12 00:00:01,15
11,2020-04-07,17089,Kane,Illinois,2020-04-12 00:00:01,18
12,2020-04-08,17089,Kane,Illinois,2020-04-12 00:00:01,19
13,2020-04-09,17089,Kane,Illinois,2020-04-12 00:00:01,20
14,2020-04-10,17089,Kane,Illinois,2020-04-12 00:00:01,22
15,2020-04-11,17089,Kane,Illinois,2020-04-12 00:00:01,22
16,2020-04-12,17089,Kane,Illinois,2020-04-12 00:00:01,23
1,2020-04-03,17091,Kankakee,Illinois,2020-04-12 00:00:01,3
2,2020-04-04,17091,Kankakee,Illinois,2020-04-12 00:00:01,5
3,2020-04-05,17091,Kankakee,Illinois,2020-04-12 00:00:01,6
4,2020-04-06,17091,Kankakee,Illinois,2020-04-12 00:00:01,5
5,2020-04-07,17091,Kankakee,Illinois,2020-04-12 00:00:01,6
6,2020-04-08,17091,Kankakee,Illinois,2020-04-12 00:00:01,6
7,2020-04-09,17091,Kankakee,Illinois,2020-04-12 00:00:01,7
8,2020-04-10,17091,Kankakee,Illinois,2020-04-12 00:00:01,10
9,2020-04-11,17091,Kankakee,Illinois,2020-04-12 00:00:01,10
10,2020-04-12,17091,Kankakee,Illinois,2020-04-12 00:00:01,9
1,2020-03-29,17097,Lake,Illinois,2020-04-12 00:00:01,3
2,2020-03-30,17097,Lake,Illinois,2020-04-12 00:00:01,5
3,2020-03-31,17097,Lake,Illinois,2020-04-12 00:00:01,7
4,2020-04-01,17097,Lake,Illinois,2020-04-12 00:00:01,7
5,2020-04-02,17097,Lake,Illinois,2020-04-12 00:00:01,7
6,2020-04-03,17097,Lake,Illinois,2020-04-12 00:00:01,14
7,2020-04-04,17097,Lake,Illinois,2020-04-12 00:00:01,14
