day,report_date,geoid,county,state,last_update,deaths_avg
1,2020-03-28,17031,Cook,Illinois,2020-04-12 00:00:01,3.4285714285714284
2,2020-03-29,17031,Cook,Illinois,2020-04-12 00:00:01,4.857142857142857
3,2020-03-30,17031,Cook,Illinois,2020-04-12 00:00:01,5
4,2020-03-31,17031,Cook,Illinois,2020-04-12 00:00:01,7
5,2020-04-01,17031,Cook,Illinois,2020-04-12 00:00:01,11.714285714285714
6,2020-04-02,17031,Cook,Illinois,2020-04-12 00:00:01,12.714285714285714
7,2020-04-03,17031,Cook,Illinois,2020-04-12 00:00:01,17.285714285714285
8,2020-04-04,17031,Cook,Illinois,2020-04-12 00:00:01,19.857142857142858
9,2020-04-05,17031,Cook,Illinois,2020-04-12 00:00:01,20.857142857142858
10,2020-04-06,17031,Cook,Illinois,2020-04-12 00:00:01,23.571428571428573
11,2020-04-07,17031,Cook,Illinois,2020-04-12 00:00:01,26.857142857142858
12,2020-04-08,17031,Cook,Illinois,2020-04-12 00:00:01,31
13,2020-04-09,17031,Cook,Illinois,2020-04-12 00:00:01,34.857142857142854
14,2020-04-10,17031,Cook,Illinois,2020-04-12 00:00:01,36.714285714285715
15,2020-04-11,17031,Cook,Illinois,2020-04-12 00:00:01,40.857142857142854
16,2020-04-12,17031,Cook,Illinois,2020-04-12 00:00:01,42.714285714285715
1,2020-04-09,17043,DuPage,Illinois,2020-04-12 00:00:01,3.142857142857143
2,2020-04-10,17043,DuPage,Illinois,2020-04-12 00:00:01,3.7142857142857144
3,2020-04-11,17043,DuPage,Illinois,2020-04-12 00:00:01,4.285714285714286
4,2020-04-12,17043,DuPage,Illinois,2020-04-12 00:00:01,4
1,2020-04-09,17097,Lake,Illinois,2020-04-12 00:00:01,3.142857142857143
3,2020-04-11,17097,Lake,Illinois,2020-04-12 00:00:01,3.5714285714285716
4,2020-04-12,17097,Lake,Illinois,2020-04-12 00:00:01,3.857142857142857
1,2020-04-07,17197,Will,Illinois,2020-04-12 00:00:01,3.142857142857143
2,2020-04-08,17197,Will,Illinois,2020-04-12 00:00:01,3.7142857142857144
3,2020-04-09,17197,Will,Illinois,2020-04-12 00:00:01,5.285714285714286
4,2020-04-10,17197,Will,Illinois,2020-04-12 00:00:01,6
5,2020-04-11,17197,Will,Illinois,2020-04-12 00:00:01,6.428571428571429
6,2020-04-12,17197,Will,Illinois,2020-04-12 00:00:01,6.428571428571429
1,2020-04-07,29189,St. Louis,Missouri,2020-04-12 00:00:01,3
2,2020-04-08,29189,St. Louis,Missouri,2020-04-12 00:00:01,3.2857142857142856
3,2020-04-09,29189,St. Louis,Missouri,2020-04-12 00:00:01,3.142857142857143
4,2020-04-10,29189,St. Louis,Missouri,2020-04-12 00:00:01,3.7142857142857144
5,2020-04-11,29189,St. Louis,Missouri,2020-04-12 00:00:01,4.428571428571429
6,2020-04-12,29189,St. Louis,Missouri,2020-04-12 00:00:01,4.142857142857143
