report_date,geoid,county,state,cases
2020-03-23,29047,Clay,Missouri,8
2020-03-23,29095,Jackson,Missouri,16
2020-03-23,29165,Platte,Missouri,1
2020-03-23,29037,Cass,Missouri,0
2020-03-24,29047,Clay,Missouri,9
2020-03-24,29095,Jackson,Missouri,20
2020-03-24,29165,Platte,Missouri,1
2020-03-24,29037,Cass,Missouri,0
2020-03-25,29047,Clay,Missouri,15
2020-03-25,29095,Jackson,Missouri,32
2020-03-25,29165,Platte,Missouri,4
2020-03-25,29037,Cass,Missouri,0
2020-03-26,29047,Clay,Missouri,16
2020-03-26,29095,Jackson,Missouri,38
2020-03-26,29165,Platte,Missouri,4
2020-03-26,29037,Cass,Missouri,0
2020-03-27,29047,Clay,Missouri,19
2020-03-27,29095,Jackson,Missouri,54
2020-03-27,29165,Platte,Missouri,4
2020-03-27,29037,Cass,Missouri,0
2020-03-30,29047,Clay,Missouri,20
2020-03-30,29095,Jackson,Missouri,67
2020-03-30,29165,Platte,Missouri,5
2020-03-30,29037,Cass,Missouri,0
2020-03-31,29047,Clay,Missouri,28
2020-03-31,29095,Jackson,Missouri,85
2020-03-31,29165,Platte,Missouri,6
2020-03-31,29037,Cass,Missouri,0
2020-04-01,29047,Clay,Missouri,29
2020-04-01,29095,Jackson,Missouri,92
2020-04-01,29165,Platte,Missouri,7
2020-04-01,29037,Cass,Missouri,0
2020-04-02,29047,Clay,Missouri,35
2020-04-02,29095,Jackson,Missouri,98
2020-04-02,29165,Platte,Missouri,10
2020-04-02,29037,Cass,Missouri,0
2020-04-03,29047,Clay,Missouri,36
2020-04-03,29095,Jackson,Missouri,107
2020-04-03,29165,Platte,Missouri,11
2020-04-03,29037,Cass,Missouri,0
2020-04-06,29047,Clay,Missouri,45
2020-04-06,29095,Jackson,Missouri,145
2020-04-06,29165,Platte,Missouri,17
2020-04-06,29037,Cass,Missouri,0
2020-04-07,29047,Clay,Missouri,47
2020-04-07,29095,Jackson,Missouri,167
2020-04-07,29165,Platte,Missouri,20
2020-04-07,29037,Cass,Missouri,0
2020-04-08,29047,Clay,Missouri,56
2020-04-08,29095,Jackson,Missouri,177
2020-04-08,29165,Platte,Missouri,20
2020-04-08,29037,Cass,Missouri,0
2020-04-09,29047,Clay,Missouri,58
2020-04-09,29095,Jackson,Missouri,189
2020-04-09,29165,Platte,Missouri,20
2020-04-09,29037,Cass,Missouri,0
2020-04-10,29047,Clay,Missouri,66
2020-04-10,29095,Jackson,Missouri,208
2020-04-10,29165,Platte,Missouri,26
2020-04-10,29037,Cass,Missouri,0
2020-04-13,29047,Clay,Missouri,73
2020-04-13,29095,Jackson,Missouri,221
2020-04-13,29165,Platte,Missouri,29
2020-04-13,29037,Cass,Missouri,0
2020-04-15,29047,Clay,Missouri,78
2020-04-15,29095,Jackson,Missouri,261
2020-04-15,29165,Platte,Missouri,32
2020-04-15,29037,Cass,Missouri,0
2020-04-16,29047,Clay,Missouri,83
2020-04-16,29095,Jackson,Missouri,273
2020-04-16,29165,Platte,Missouri,33
