report_date,geoid,county,state,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-01-24,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-24,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-24,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-24,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-24,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-24,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-24,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-24,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-25,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-25,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-25,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-25,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-25,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-25,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-25,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-25,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-26,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-26,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-26,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-26,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-26,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-26,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-26,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-26,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-27,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-27,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-27,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-27,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-27,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-27,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-27,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-27,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-28,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-28,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-28,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-28,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-28,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-28,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-28,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-28,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-29,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-29,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-29,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-29,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-29,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-29,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-29,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-29,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-30,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-30,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-30,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-30,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-30,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-30,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-30,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-30,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-31,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-01-31,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-31,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-31,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-31,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-31,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-31,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-01-31,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-01,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-01,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-01,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-01,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-01,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-01,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-01,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-01,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-02,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-02,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-02,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-02,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-02,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-02,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-02,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-02,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-03,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-03,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-03,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-03,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-03,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-03,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
