Date,county,cases
2020-03-23T00:00:00Z,Clay,8
2020-03-23T00:00:00Z,Jackson,16
2020-03-23T00:00:00Z,Platte,1
2020-03-23T00:00:00Z,Cass,0
2020-03-24T00:00:00Z,Clay,9
2020-03-24T00:00:00Z,Jackson,20
2020-03-24T00:00:00Z,Platte,1
2020-03-24T00:00:00Z,Cass,0
2020-03-25T00:00:00Z,Clay,15
2020-03-25T00:00:00Z,Jackson,32
2020-03-25T00:00:00Z,Platte,4
2020-03-25T00:00:00Z,Cass,0
2020-03-26T00:00:00Z,Clay,16
2020-03-26T00:00:00Z,Jackson,38
2020-03-26T00:00:00Z,Platte,4
2020-03-26T00:00:00Z,Cass,0
2020-03-27T00:00:00Z,Clay,19
2020-03-27T00:00:00Z,Jackson,54
2020-03-27T00:00:00Z,Platte,4
2020-03-27T00:00:00Z,Cass,0
2020-03-30T00:00:00Z,Clay,20
2020-03-30T00:00:00Z,Jackson,67
2020-03-30T00:00:00Z,Platte,5
2020-03-30T00:00:00Z,Cass,0
2020-03-31T00:00:00Z,Clay,28
2020-03-31T00:00:00Z,Jackson,85
2020-03-31T00:00:00Z,Platte,6
2020-03-31T00:00:00Z,Cass,0
2020-04-01T00:00:00Z,Clay,29
2020-04-01T00:00:00Z,Jackson,92
2020-04-01T00:00:00Z,Platte,7
2020-04-01T00:00:00Z,Cass,0
2020-04-02T00:00:00Z,Clay,35
2020-04-02T00:00:00Z,Jackson,98
2020-04-02T00:00:00Z,Platte,10
2020-04-02T00:00:00Z,Cass,0
2020-04-03T00:00:00Z,Clay,36
2020-04-03T00:00:00Z,Jackson,107
2020-04-03T00:00:00Z,Platte,11
2020-04-03T00:00:00Z,Cass,0
2020-04-06T00:00:00Z,Clay,45
2020-04-06T00:00:00Z,Jackson,145
2020-04-06T00:00:00Z,Platte,17
2020-04-06T00:00:00Z,Cass,0
2020-04-07T00:00:00Z,Clay,47
2020-04-07T00:00:00Z,Jackson,167
2020-04-07T00:00:00Z,Platte,20
2020-04-07T00:00:00Z,Cass,0
2020-04-08T00:00:00Z,Clay,56
2020-04-08T00:00:00Z,Jackson,177
2020-04-08T00:00:00Z,Platte,20
2020-04-08T00:00:00Z,Cass,0
2020-04-09T00:00:00Z,Clay,58
2020-04-09T00:00:00Z,Jackson,189
2020-04-09T00:00:00Z,Platte,20
2020-04-09T00:00:00Z,Cass,0
2020-04-10T00:00:00Z,Clay,66
2020-04-10T00:00:00Z,Jackson,208
2020-04-10T00:00:00Z,Platte,26
2020-04-10T00:00:00Z,Cass,0
2020-04-13T00:00:00Z,Clay,73
2020-04-13T00:00:00Z,Jackson,221
2020-04-13T00:00:00Z,Platte,29
2020-04-13T00:00:00Z,Cass,0
2020-04-15T00:00:00Z,Clay,78
2020-04-15T00:00:00Z,Jackson,261
2020-04-15T00:00:00Z,Platte,32
2020-04-15T00:00:00Z,Cass,0
2020-04-16T00:00:00Z,Clay,83
2020-04-16T00:00:00Z,Jackson,273
2020-04-16T00:00:00Z,Platte,33
2020-04-16T00:00:00Z,Cass,0
2020-04-17T00:00:00Z,Clay,83
2020-04-17T00:00:00Z,Jackson,285
2020-04-17T00:00:00Z,Platte,33
2020-04-17T00:00:00Z,Cass,0
2020-04-18T00:00:00Z,Clay,NA
2020-04-18T00:00:00Z,Jackson,NA
2020-04-18T00:00:00Z,Platte,NA
2020-04-18T00:00:00Z,Cass,NA
2020-04-19T00:00:00Z,Clay,NA
2020-04-19T00:00:00Z,Jackson,NA
2020-04-19T00:00:00Z,Platte,NA
2020-04-19T00:00:00Z,Cass,NA
2020-04-20T00:00:00Z,Clay,86
2020-04-20T00:00:00Z,Jackson,304
2020-04-20T00:00:00Z,Platte,33
2020-04-20T00:00:00Z,Cass,0
2020-04-21T00:00:00Z,Clay,88
2020-04-21T00:00:00Z,Jackson,312
2020-04-21T00:00:00Z,Platte,32
2020-04-21T00:00:00Z,Cass,0
2020-04-22T00:00:00Z,Clay,93
2020-04-22T00:00:00Z,Jackson,322
2020-04-22T00:00:00Z,Platte,33
2020-04-22T00:00:00Z,Cass,0
2020-04-23T00:00:00Z,Clay,95
2020-04-23T00:00:00Z,Jackson,333
2020-04-23T00:00:00Z,Platte,33
2020-04-23T00:00:00Z,Cass,0
2020-04-24T00:00:00Z,Clay,97
2020-04-24T00:00:00Z,Jackson,344
2020-04-24T00:00:00Z,Platte,34
2020-04-24T00:00:00Z,Cass,0
2020-04-25T00:00:00Z,Clay,NA
2020-04-25T00:00:00Z,Jackson,NA
2020-04-25T00:00:00Z,Platte,NA
2020-04-25T00:00:00Z,Cass,NA
2020-04-26T00:00:00Z,Clay,NA
2020-04-26T00:00:00Z,Jackson,NA
2020-04-26T00:00:00Z,Platte,NA
2020-04-26T00:00:00Z,Cass,NA
2020-04-27T00:00:00Z,Clay,100
2020-04-27T00:00:00Z,Jackson,365
2020-04-27T00:00:00Z,Platte,34
2020-04-27T00:00:00Z,Cass,0
2020-04-28T00:00:00Z,Clay,105
2020-04-28T00:00:00Z,Jackson,372
2020-04-28T00:00:00Z,Platte,34
2020-04-28T00:00:00Z,Cass,0
2020-04-29T00:00:00Z,Clay,107
