report_date,region,new_cases,case_avg
2020-01-24,Kansas City,0,0
2020-01-25,Kansas City,0,0
2020-01-26,Kansas City,0,0
2020-01-27,Kansas City,0,0
2020-01-28,Kansas City,0,0
2020-01-29,Kansas City,0,0
2020-01-30,Kansas City,0,0
2020-01-31,Kansas City,0,0
2020-02-01,Kansas City,0,0
2020-02-02,Kansas City,0,0
2020-02-03,Kansas City,0,0
2020-02-04,Kansas City,0,0
2020-02-05,Kansas City,0,0
2020-02-06,Kansas City,0,0
2020-02-07,Kansas City,0,0
2020-02-08,Kansas City,0,0
2020-02-09,Kansas City,0,0
2020-02-10,Kansas City,0,0
2020-02-11,Kansas City,0,0
2020-02-12,Kansas City,0,0
2020-02-13,Kansas City,0,0
2020-02-14,Kansas City,0,0
2020-02-15,Kansas City,0,0
2020-02-16,Kansas City,0,0
2020-02-17,Kansas City,0,0
2020-02-18,Kansas City,0,0
2020-02-19,Kansas City,0,0
2020-02-20,Kansas City,0,0
2020-02-21,Kansas City,0,0
2020-02-22,Kansas City,0,0
2020-02-23,Kansas City,0,0
2020-02-24,Kansas City,0,0
2020-02-25,Kansas City,0,0
2020-02-26,Kansas City,0,0
2020-02-27,Kansas City,0,0
2020-02-28,Kansas City,0,0
2020-02-29,Kansas City,0,0
2020-03-01,Kansas City,0,0
2020-03-02,Kansas City,0,0
2020-03-03,Kansas City,0,0
2020-03-04,Kansas City,0,0
2020-03-05,Kansas City,0,0
2020-03-06,Kansas City,0,0
2020-03-07,Kansas City,0,0
2020-03-08,Kansas City,0,0
2020-03-09,Kansas City,0,0
2020-03-10,Kansas City,0,0
2020-03-11,Kansas City,0,0
2020-03-12,Kansas City,0,0
2020-03-13,Kansas City,0,0
2020-03-14,Kansas City,0,0
2020-03-15,Kansas City,0,0
2020-03-16,Kansas City,1,0.14285714285714285
2020-03-17,Kansas City,3,0.5714285714285714
2020-03-18,Kansas City,1,0.7142857142857143
2020-03-19,Kansas City,2,1
2020-03-20,Kansas City,16,3.2857142857142856
2020-03-21,Kansas City,2,3.5714285714285716
2020-03-22,Kansas City,0,3.5714285714285716
2020-03-23,Kansas City,15,5.571428571428571
2020-03-24,Kansas City,16,7.428571428571429
2020-03-25,Kansas City,31,11.714285714285714
2020-03-26,Kansas City,30,15.714285714285714
2020-03-27,Kansas City,31,17.857142857142858
2020-03-28,Kansas City,20,20.428571428571427
2020-03-29,Kansas City,15,22.571428571428573
2020-03-30,Kansas City,25,24
2020-03-31,Kansas City,52,29.142857142857142
2020-04-01,Kansas City,33,29.428571428571427
2020-04-02,Kansas City,36,30.285714285714285
2020-04-03,Kansas City,38,31.285714285714285
2020-04-04,Kansas City,48,35.285714285714285
2020-04-05,Kansas City,12,34.857142857142854
2020-04-06,Kansas City,58,39.57142857142857
2020-04-07,Kansas City,14,34.142857142857146
2020-04-08,Kansas City,49,36.42857142857143
2020-04-09,Kansas City,19,34
2020-04-10,Kansas City,51,35.857142857142854
2020-04-11,Kansas City,43,35.142857142857146
