geoid,state,county
05001,Arkansas,Arkansas
05003,Arkansas,Ashley
05005,Arkansas,Baxter
05007,Arkansas,Benton
05009,Arkansas,Boone
05011,Arkansas,Bradley
05013,Arkansas,Calhoun
05015,Arkansas,Carroll
05017,Arkansas,Chicot
05019,Arkansas,Clark
05021,Arkansas,Clay
05023,Arkansas,Cleburne
05025,Arkansas,Cleveland
05027,Arkansas,Columbia
05029,Arkansas,Conway
05031,Arkansas,Craighead
05033,Arkansas,Crawford
05035,Arkansas,Crittenden
05037,Arkansas,Cross
05039,Arkansas,Dallas
05041,Arkansas,Desha
05043,Arkansas,Drew
05045,Arkansas,Faulkner
05047,Arkansas,Franklin
05049,Arkansas,Fulton
05051,Arkansas,Garland
05053,Arkansas,Grant
05055,Arkansas,Greene
05057,Arkansas,Hempstead
05059,Arkansas,Hot Spring
05061,Arkansas,Howard
05063,Arkansas,Independence
05065,Arkansas,Izard
05067,Arkansas,Jackson
05069,Arkansas,Jefferson
05071,Arkansas,Johnson
05073,Arkansas,Lafayette
05075,Arkansas,Lawrence
05077,Arkansas,Lee
05079,Arkansas,Lincoln
05081,Arkansas,Little River
05083,Arkansas,Logan
05085,Arkansas,Lonoke
05087,Arkansas,Madison
05089,Arkansas,Marion
05091,Arkansas,Miller
05093,Arkansas,Mississippi
05095,Arkansas,Monroe
05097,Arkansas,Montgomery
05099,Arkansas,Nevada
05101,Arkansas,Newton
05103,Arkansas,Ouachita
05105,Arkansas,Perry
05107,Arkansas,Phillips
05109,Arkansas,Pike
05111,Arkansas,Poinsett
05113,Arkansas,Polk
05115,Arkansas,Pope
05117,Arkansas,Prairie
05119,Arkansas,Pulaski
05121,Arkansas,Randolph
05123,Arkansas,St. Francis
05125,Arkansas,Saline
05127,Arkansas,Scott
05129,Arkansas,Searcy
05131,Arkansas,Sebastian
05133,Arkansas,Sevier
05135,Arkansas,Sharp
05137,Arkansas,Stone
05139,Arkansas,Union
05141,Arkansas,Van Buren
05143,Arkansas,Washington
05145,Arkansas,White
05147,Arkansas,Woodruff
05149,Arkansas,Yell
17001,Illinois,Adams
17003,Illinois,Alexander
17005,Illinois,Bond
17007,Illinois,Boone
17009,Illinois,Brown
