Date,Clay,Jackson,Platte,Cass
3/23/20,8,16,1,0
3/24/20,9,20,1,0
3/25/20,15,32,4,0
3/26/20,16,38,4,0
3/27/20,19,54,4,0
3/30/20,20,67,5,0
3/31/20,28,85,6,0
4/1/20,29,92,7,0
4/2/20,35,98,10,0
4/3/20,36,107,11,0
4/6/20,45,145,17,0
4/7/20,47,167,20,0
4/8/20,56,177,20,0
4/9/20,58,189,20,0
4/10/20,66,208,26,0
4/13/20,73,221,29,0
4/15/20,78,261,32,0
4/16/20,83,273,33,0
4/17/20,83,285,33,0
4/18/20,,,,
4/19/20,,,,
4/20/20,86,304,33,0
4/21/20,88,312,32,0
4/22/20,93,322,33,0
4/23/20,95,333,33,0
4/24/20,97,344,34,0
4/25/20,,,,
4/26/20,,,,
4/27/20,100,365,34,0
4/28/20,105,372,34,0
4/29/20,107,379,34,0
4/30/20,111,398,34,0
5/1/20,122,417,34,0
5/2/20,,,,
5/3/20,,,,
5/4/20,126,426,34,0
5/5/20,151,477,36,0
5/6/20,151,482,36,0
5/7/20,163,514,38,0
5/8/20,165,526,39,0
5/11/20,178,542,41,0
5/12/20,182,566,41,0
5/13/20,183,576,43,0
5/14/20,186,582,45,0
5/15/20,196,602,45,0
5/16/20,,,,
5/17/20,,,,
5/18/20,204,613,47,0
5/19/20,216,638,49,0
5/20/20,225,643,49,0
5/21/20,234,654,51,0
5/22/20,243,666,53,0
5/23/20,,,,
5/24/20,,,,
5/25/20,,,,
5/26/20,255,701,55,0
5/27/20,267,724,59,0
5/28/20,267,740,64,0
5/29/20,274,754,68,0
5/30/20,,,,
5/31/20,,,,
6/1/20,281,783,69,0
6/2/20,296,813,74,0
6/3/20,300,862,76,0
6/4/20,305,894,76,0
6/5/20,307,938,76,0
6/6/20,,,,
6/7/20,,,,
6/8/20,312,1004,78,0
6/9/20,313,1031,78,0
6/10/20,315,1078,78,0
6/11/20,329,1113,83,0
6/12/20,349,1145,87,0
6/13/20,,,,
6/14/20,,,,
6/15/20,358,1157,91,0
6/16/20,369,1188,94,0
6/17/20,376,1226,96,0
6/18/20,376,1228,86,0
6/19/20,380,1250,100,0
6/22/20,395,1289,105,0
6/23/20,406,1318,107,0
6/24/20,417,1351,113,0
6/25/20,422,1371,113,0
6/26/20,422,1371,113,0
6/30/20,448,1472,119,0
7/1/20,462,1553,121,0
7/2/20,477,1582,125,0
7/6/20,490,1515,128,0
7/7/20,501,1671,132,0
7/8/20,512,1721,132,0
7/10/20,517,1796,136,0
7/11/20,527,1865,141,0
7/14/20,540,1922,142,0
7/15/20,556,1984,151,0
7/16/20,569,2048,155,0
7/17/20,581,2131,161,0
