date,new_in_pt,in_pt,icu,vent,new_discharge,discharge
3/30/20,8,,,,,
3/31/20,5,,,,,
4/1/20,45,,,,,
4/2/20,44,,,,,
4/3/20,54,,,,,
4/4/20,60,,,,,
4/5/20,65,468,164,139,,
4/6/20,49,545,224,172,,
4/7/20,55,586,239,186,,
4/8/20,69,586,233,186,,
4/9/20,62,611,219,173,,
4/10/20,44,584,205,160,,
4/11/20,54,592,211,157,,
4/12/20,37,607,211,162,,
4/13/20,37,634,189,160,,
4/14/20,56,702,185,145,,
4/15/20,45,707,175,149,,
4/16/20,50,687,179,155,,
4/17/20,45,684,173,144,,
4/18/20,49,683,176,136,,
4/19/20,59,659,175,139,,
4/20/20,43,757,196,142,,
4/21/20,53,750,187,130,,
4/22/20,47,685,185,133,,
4/23/20,47,694,170,123,,
4/24/20,44,701,168,114,,
4/25/20,36,652,159,118,48,1082
4/26/20,44,652,162,115,15,1117
4/27/20,45,690,154,109,50,1167
4/28/20,42,678,159,113,42,1209
4/29/20,45,702,160,121,51,1260
4/30/20,37,685,164,117,60,1320
5/1/20,44,654,164,112,,
5/2/20,55,656,178,118,,
5/3/20,47,660,158,117,24,1422
5/4/20,32,653,164,110,41,1463
5/5/20,32,673,158,117,45,1508
5/6/20,29,630,145,118,45,1553
5/7/20,35,596,147,106,56,1609
5/8/20,33,506,133,104,,
5/9/20,31,540,138,108,15,1663
5/10/20,25,505,140,111,11,1674
5/11/20,16,492,131,98,,
