zip,total_pop
63005,17887
63011,38436
63017,41556
63021,56233
63025,8387
63026,22242
63031,47419
63033,42991
63034,17879
63038,7077
63040,8258
63042,19443
63043,22524
63044,10536
63049,3463
63069,4886
63074,15234
63088,8376
63101,3307
63102,2201
63103,8307
63104,19913
63105,18333
63106,11409
63107,9490
63108,20704
63109,26562
63110,18208
63111,21141
63112,18744
63113,11371
63114,35487
63115,18213
63116,44290
63117,8978
63118,28324
63119,34119
63120,8691
63121,24634
63122,38686
63123,51130
63124,10827
63125,33031
63126,14781
63127,4986
63128,29823
63129,53671
63130,28909
63131,17627
63132,13427
63133,7336
63134,13525
63135,21869
63136,45411
63137,20039
63138,18582
63139,21933
63140,276
63141,20550
63143,9572
63144,8725
63146,30178
63147,9932
63304,1
