zip,total_pop
63005,17887
63011,38436
63017,41556
63021,56233
63025,8387
63026,22242
63031,47419
63033,42991
63034,17879
63038,7077
63040,8258
63042,19443
63043,22524
63044,10536
63049,3463
63069,4886
63074,15234
63088,8376
63105,17390
63114,35487
63117,8500
63119,33822
63120,596
63121,24625
63122,38686
63123,48554
63124,10827
63125,32752
63126,14781
63127,4986
63128,29823
63129,53671
63130,28511
63131,17627
63132,13427
63133,7278
63134,13525
63135,21869
63136,43545
63137,13850
63138,18582
63140,276
63141,20550
63143,7097
63144,8725
63146,30178
63147,2
63304,1
