"Provider.State","total.beds","total.beds.occupied","total.staff.infected","total.residents.infected","total.staff.deaths","total.residents.suspected","total.confirmed.residents.admitted","rate.staff.beds","rate.staff.residents","rate.resident.beds","rate.resident.beds.occupied","rate.resident.suspected.beds.occupied","rate.staff.deaths","rate.staff.deaths.occupied","total.transmission","rate.transmission","pct.increase.transmission"
"AK",830,669,51,25,0,48,15,61.4457831325301,204,30.1204819277108,37.3692077727952,71.7488789237668,0,0,10,1.20481927710843,66.6666666666667
"AL",26528,19484,5838,7041,23,2879,1492,220.069360675513,82.9143587558585,265.417671893848,361.373434613016,147.762266475056,0.867008443908323,1.18045575857114,5549,20.9175211097708,371.916890080429
"AR",24054,15411,2885,3360,7,2331,493,119.938471771847,85.8630952380952,139.685707158893,218.026085263773,151.255596651742,0.291011889914359,0.454221010966193,2867,11.9190155483495,581.541582150101
"AZ",15786,10051,2318,2826,5,1663,2524,146.83897124034,82.0240622788394,179.019384264538,281.166053129042,165.456173515073,0.316736348663373,0.497462939011044,302,1.91308754592677,11.9651347068146
"CA",115279,86669,18363,22949,107,27580,12595,159.291805098934,80.0165584557061,199.073551991256,264.789024910868,318.222201709954,0.928182930108693,1.2345821458653,10354,8.98168790499571,82.2072250893212
"CO",20212,14742,1393,1581,5,1224,828,68.9194537898278,88.1087919038583,78.2208588957055,107.244607244607,83.028083028083,0.247377795369088,0.339167005833672,753,3.72550959825846,90.9420289855072
"CT",24505,18194,3118,6591,14,2815,2610,127.239338910426,47.3069336974662,268.965517241379,362.262284269539,154.721336704408,0.571311977147521,0.769484445421568,3981,16.2456641501734,152.528735632184
"DC",2584,1994,326,491,6,309,339,126.160990712074,66.3951120162933,190.015479876161,246.238716148445,154.964894684052,2.32198142414861,3.00902708124373,152,5.88235294117647,44.8377581120944
"DE",4852,3556,598,844,1,436,350,123.248145094806,70.8530805687204,173.948887056884,237.345331833521,122.609673790776,0.206100577081616,0.281214848143982,494,10.1813685078318,141.142857142857
"FL",81209,62217,19433,17242,56,7451,9280,239.296137127658,112.707342535669,212.316368875371,277.126830287542,119.758265425848,0.689578741272519,0.900075542054422,7962,9.80433203216392,85.7974137931034
"GA",37670,27122,6538,9483,23,4861,2851,173.559861959119,68.9444268691342,251.738784178391,349.642356758351,179.22719563454,0.610565436687019,0.848020057517882,6632,17.6055216352535,232.620133286566
"GU",10,7,0,0,0,1,0,0,,0,0,142.857142857143,0,0,0,0,
"HI",4223,3261,146,151,2,488,40,34.5725787354961,96.6887417218543,35.7565711579446,46.3048144740877,149.647347439436,0.473596968979399,0.613308800981294,111,2.62846317783566,277.5
"IA",28963,20748,2705,2706,19,2951,756,93.3950212339882,99.9630450849963,93.4295480440562,130.422209369578,142.230576441103,0.656009391292338,0.915750915750916,1950,6.73272796326347,257.936507936508
"ID",5793,3626,653,645,1,367,146,112.722250992577,101.240310077519,111.341273951321,177.881963596249,101.213458356315,0.172622130157086,0.275785990071704,499,8.6138442948386,341.780821917808
"IL",87907,57792,8945,12201,47,6314,5907,101.755264085909,73.3136628145234,138.794407726347,211.119186046512,109.253875968992,0.534655943212713,0.813261351052049,6294,7.15983937570387,106.55154900965
"IN",50588,34482,4646,5603,24,2701,1636,91.8399620463351,82.9198643583794,110.757491895311,162.490574792645,78.3307232759121,0.474420811259587,0.696015312336871,3967,7.84178065944493,242.481662591687
"KS",20621,15638,1666,1427,4,1515,494,80.7914262159934,116.748423265592,69.201299645992,91.2520782708786,96.8793963422433,0.193977013723874,0.255787185062028,933,4.52451384510935,188.866396761134
