day,report_date,state,last_update,confirmed
1,2020-03-09,Illinois,2020-04-12 00:00:01,11
2,2020-03-10,Illinois,2020-04-12 00:00:01,19
3,2020-03-11,Illinois,2020-04-12 00:00:01,25
4,2020-03-12,Illinois,2020-04-12 00:00:01,32
5,2020-03-13,Illinois,2020-04-12 00:00:01,46
6,2020-03-14,Illinois,2020-04-12 00:00:01,66
7,2020-03-15,Illinois,2020-04-12 00:00:01,94
8,2020-03-16,Illinois,2020-04-12 00:00:01,104
9,2020-03-17,Illinois,2020-04-12 00:00:01,159
10,2020-03-18,Illinois,2020-04-12 00:00:01,286
11,2020-03-19,Illinois,2020-04-12 00:00:01,420
12,2020-03-20,Illinois,2020-04-12 00:00:01,583
13,2020-03-21,Illinois,2020-04-12 00:00:01,751
14,2020-03-22,Illinois,2020-04-12 00:00:01,1047
15,2020-03-23,Illinois,2020-04-12 00:00:01,1227
16,2020-03-24,Illinois,2020-04-12 00:00:01,1533
17,2020-03-25,Illinois,2020-04-12 00:00:01,1875
18,2020-03-26,Illinois,2020-04-12 00:00:01,2538
19,2020-03-27,Illinois,2020-04-12 00:00:01,3029
20,2020-03-28,Illinois,2020-04-12 00:00:01,3544
21,2020-03-29,Illinois,2020-04-12 00:00:01,4615
22,2020-03-30,Illinois,2020-04-12 00:00:01,5067
23,2020-03-31,Illinois,2020-04-12 00:00:01,5988
24,2020-04-01,Illinois,2020-04-12 00:00:01,6964
25,2020-04-02,Illinois,2020-04-12 00:00:01,7667
26,2020-04-03,Illinois,2020-04-12 00:00:01,8864
27,2020-04-04,Illinois,2020-04-12 00:00:01,10342
28,2020-04-05,Illinois,2020-04-12 00:00:01,11229
29,2020-04-06,Illinois,2020-04-12 00:00:01,12200
30,2020-04-07,Illinois,2020-04-12 00:00:01,13515
31,2020-04-08,Illinois,2020-04-12 00:00:01,15017
32,2020-04-09,Illinois,2020-04-12 00:00:01,16364
33,2020-04-10,Illinois,2020-04-12 00:00:01,17811
34,2020-04-11,Illinois,2020-04-12 00:00:01,19098
35,2020-04-12,Illinois,2020-04-12 00:00:01,20731
1,2020-03-16,Kansas,2020-04-12 00:00:01,11
2,2020-03-17,Kansas,2020-04-12 00:00:01,17
3,2020-03-18,Kansas,2020-04-12 00:00:01,22
4,2020-03-19,Kansas,2020-04-12 00:00:01,35
5,2020-03-20,Kansas,2020-04-12 00:00:01,49
6,2020-03-21,Kansas,2020-04-12 00:00:01,57
7,2020-03-22,Kansas,2020-04-12 00:00:01,66
8,2020-03-23,Kansas,2020-04-12 00:00:01,82
9,2020-03-24,Kansas,2020-04-12 00:00:01,102
10,2020-03-25,Kansas,2020-04-12 00:00:01,134
11,2020-03-26,Kansas,2020-04-12 00:00:01,173
12,2020-03-27,Kansas,2020-04-12 00:00:01,213
13,2020-03-28,Kansas,2020-04-12 00:00:01,272
14,2020-03-29,Kansas,2020-04-12 00:00:01,333
15,2020-03-30,Kansas,2020-04-12 00:00:01,374
16,2020-03-31,Kansas,2020-04-12 00:00:01,435
17,2020-04-01,Kansas,2020-04-12 00:00:01,489
18,2020-04-02,Kansas,2020-04-12 00:00:01,554
19,2020-04-03,Kansas,2020-04-12 00:00:01,625
20,2020-04-04,Kansas,2020-04-12 00:00:01,701
21,2020-04-05,Kansas,2020-04-12 00:00:01,765
22,2020-04-06,Kansas,2020-04-12 00:00:01,853
23,2020-04-07,Kansas,2020-04-12 00:00:01,905
24,2020-04-08,Kansas,2020-04-12 00:00:01,1055
25,2020-04-09,Kansas,2020-04-12 00:00:01,1116
26,2020-04-10,Kansas,2020-04-12 00:00:01,1180
27,2020-04-11,Kansas,2020-04-12 00:00:01,1283
28,2020-04-12,Kansas,2020-04-12 00:00:01,1344
1,2020-03-17,Missouri,2020-04-12 00:00:01,16
2,2020-03-18,Missouri,2020-04-12 00:00:01,21
3,2020-03-19,Missouri,2020-04-12 00:00:01,35
4,2020-03-20,Missouri,2020-04-12 00:00:01,72
5,2020-03-21,Missouri,2020-04-12 00:00:01,92
6,2020-03-22,Missouri,2020-04-12 00:00:01,129
7,2020-03-23,Missouri,2020-04-12 00:00:01,182
8,2020-03-24,Missouri,2020-04-12 00:00:01,215
9,2020-03-25,Missouri,2020-04-12 00:00:01,380
10,2020-03-26,Missouri,2020-04-12 00:00:01,508
11,2020-03-27,Missouri,2020-04-12 00:00:01,669
12,2020-03-28,Missouri,2020-04-12 00:00:01,835
13,2020-03-29,Missouri,2020-04-12 00:00:01,897
14,2020-03-30,Missouri,2020-04-12 00:00:01,1039
15,2020-03-31,Missouri,2020-04-12 00:00:01,1350
16,2020-04-01,Missouri,2020-04-12 00:00:01,1428
17,2020-04-02,Missouri,2020-04-12 00:00:01,1832
18,2020-04-03,Missouri,2020-04-12 00:00:01,2110
19,2020-04-04,Missouri,2020-04-12 00:00:01,2282
20,2020-04-05,Missouri,2020-04-12 00:00:01,2365
21,2020-04-06,Missouri,2020-04-12 00:00:01,2719
22,2020-04-07,Missouri,2020-04-12 00:00:01,3033
23,2020-04-08,Missouri,2020-04-12 00:00:01,3324
24,2020-04-09,Missouri,2020-04-12 00:00:01,3537
25,2020-04-10,Missouri,2020-04-12 00:00:01,3794
26,2020-04-11,Missouri,2020-04-12 00:00:01,4020
27,2020-04-12,Missouri,2020-04-12 00:00:01,4269
