day,report_date,state,last_update,deaths
1,2020-03-19,Illinois,2020-04-12 00:00:01,4
2,2020-03-20,Illinois,2020-04-12 00:00:01,5
3,2020-03-21,Illinois,2020-04-12 00:00:01,6
4,2020-03-22,Illinois,2020-04-12 00:00:01,9
5,2020-03-23,Illinois,2020-04-12 00:00:01,12
6,2020-03-24,Illinois,2020-04-12 00:00:01,16
7,2020-03-25,Illinois,2020-04-12 00:00:01,19
8,2020-03-26,Illinois,2020-04-12 00:00:01,26
9,2020-03-27,Illinois,2020-04-12 00:00:01,37
10,2020-03-28,Illinois,2020-04-12 00:00:01,50
11,2020-03-29,Illinois,2020-04-12 00:00:01,71
12,2020-03-30,Illinois,2020-04-12 00:00:01,84
13,2020-03-31,Illinois,2020-04-12 00:00:01,107
14,2020-04-01,Illinois,2020-04-12 00:00:01,146
15,2020-04-02,Illinois,2020-04-12 00:00:01,165
16,2020-04-03,Illinois,2020-04-12 00:00:01,212
17,2020-04-04,Illinois,2020-04-12 00:00:01,248
18,2020-04-05,Illinois,2020-04-12 00:00:01,283
19,2020-04-06,Illinois,2020-04-12 00:00:01,309
20,2020-04-07,Illinois,2020-04-12 00:00:01,384
21,2020-04-08,Illinois,2020-04-12 00:00:01,464
22,2020-04-09,Illinois,2020-04-12 00:00:01,534
23,2020-04-10,Illinois,2020-04-12 00:00:01,607
24,2020-04-11,Illinois,2020-04-12 00:00:01,682
25,2020-04-12,Illinois,2020-04-12 00:00:01,718
1,2020-03-24,Kansas,2020-04-12 00:00:01,3
2,2020-03-25,Kansas,2020-04-12 00:00:01,3
3,2020-03-26,Kansas,2020-04-12 00:00:01,3
4,2020-03-27,Kansas,2020-04-12 00:00:01,4
5,2020-03-28,Kansas,2020-04-12 00:00:01,6
6,2020-03-29,Kansas,2020-04-12 00:00:01,7
7,2020-03-30,Kansas,2020-04-12 00:00:01,9
8,2020-03-31,Kansas,2020-04-12 00:00:01,10
9,2020-04-01,Kansas,2020-04-12 00:00:01,11
10,2020-04-02,Kansas,2020-04-12 00:00:01,14
11,2020-04-03,Kansas,2020-04-12 00:00:01,19
12,2020-04-04,Kansas,2020-04-12 00:00:01,21
13,2020-04-05,Kansas,2020-04-12 00:00:01,23
14,2020-04-06,Kansas,2020-04-12 00:00:01,25
15,2020-04-07,Kansas,2020-04-12 00:00:01,30
16,2020-04-08,Kansas,2020-04-12 00:00:01,36
17,2020-04-09,Kansas,2020-04-12 00:00:01,42
18,2020-04-10,Kansas,2020-04-12 00:00:01,46
19,2020-04-11,Kansas,2020-04-12 00:00:01,51
20,2020-04-12,Kansas,2020-04-12 00:00:01,52
1,2020-03-20,Missouri,2020-04-12 00:00:01,3
2,2020-03-21,Missouri,2020-04-12 00:00:01,3
3,2020-03-22,Missouri,2020-04-12 00:00:01,3
4,2020-03-23,Missouri,2020-04-12 00:00:01,4
5,2020-03-24,Missouri,2020-04-12 00:00:01,5
6,2020-03-25,Missouri,2020-04-12 00:00:01,8
7,2020-03-26,Missouri,2020-04-12 00:00:01,8
8,2020-03-27,Missouri,2020-04-12 00:00:01,9
9,2020-03-28,Missouri,2020-04-12 00:00:01,11
10,2020-03-29,Missouri,2020-04-12 00:00:01,12
11,2020-03-30,Missouri,2020-04-12 00:00:01,13
12,2020-03-31,Missouri,2020-04-12 00:00:01,15
13,2020-04-01,Missouri,2020-04-12 00:00:01,21
14,2020-04-02,Missouri,2020-04-12 00:00:01,28
15,2020-04-03,Missouri,2020-04-12 00:00:01,36
16,2020-04-04,Missouri,2020-04-12 00:00:01,44
17,2020-04-05,Missouri,2020-04-12 00:00:01,52
18,2020-04-06,Missouri,2020-04-12 00:00:01,56
19,2020-04-07,Missouri,2020-04-12 00:00:01,80
20,2020-04-08,Missouri,2020-04-12 00:00:01,86
21,2020-04-09,Missouri,2020-04-12 00:00:01,94
22,2020-04-10,Missouri,2020-04-12 00:00:01,105
23,2020-04-11,Missouri,2020-04-12 00:00:01,116
24,2020-04-12,Missouri,2020-04-12 00:00:01,117
