day,report_date,state,last_update,deaths_avg
1,2020-03-26,Illinois,2020-04-12 00:00:01,3.142857142857143
2,2020-03-27,Illinois,2020-04-12 00:00:01,4.571428571428571
3,2020-03-28,Illinois,2020-04-12 00:00:01,6.285714285714286
4,2020-03-29,Illinois,2020-04-12 00:00:01,8.857142857142858
5,2020-03-30,Illinois,2020-04-12 00:00:01,10.285714285714286
6,2020-03-31,Illinois,2020-04-12 00:00:01,13
7,2020-04-01,Illinois,2020-04-12 00:00:01,18.142857142857142
8,2020-04-02,Illinois,2020-04-12 00:00:01,19.857142857142858
9,2020-04-03,Illinois,2020-04-12 00:00:01,25
10,2020-04-04,Illinois,2020-04-12 00:00:01,28.285714285714285
11,2020-04-05,Illinois,2020-04-12 00:00:01,30.285714285714285
12,2020-04-06,Illinois,2020-04-12 00:00:01,32.142857142857146
13,2020-04-07,Illinois,2020-04-12 00:00:01,39.57142857142857
14,2020-04-08,Illinois,2020-04-12 00:00:01,45.42857142857143
15,2020-04-09,Illinois,2020-04-12 00:00:01,52.714285714285715
16,2020-04-10,Illinois,2020-04-12 00:00:01,56.42857142857143
17,2020-04-11,Illinois,2020-04-12 00:00:01,62
18,2020-04-12,Illinois,2020-04-12 00:00:01,62.142857142857146
1,2020-04-08,Kansas,2020-04-12 00:00:01,3.5714285714285716
2,2020-04-09,Kansas,2020-04-12 00:00:01,4
3,2020-04-10,Kansas,2020-04-12 00:00:01,3.857142857142857
4,2020-04-11,Kansas,2020-04-12 00:00:01,4.285714285714286
5,2020-04-12,Kansas,2020-04-12 00:00:01,4.142857142857143
1,2020-04-03,Missouri,2020-04-12 00:00:01,3.857142857142857
2,2020-04-04,Missouri,2020-04-12 00:00:01,4.714285714285714
3,2020-04-05,Missouri,2020-04-12 00:00:01,5.714285714285714
4,2020-04-06,Missouri,2020-04-12 00:00:01,6.142857142857143
5,2020-04-07,Missouri,2020-04-12 00:00:01,9.285714285714286
6,2020-04-08,Missouri,2020-04-12 00:00:01,9.285714285714286
7,2020-04-09,Missouri,2020-04-12 00:00:01,9.428571428571429
8,2020-04-10,Missouri,2020-04-12 00:00:01,9.857142857142858
9,2020-04-11,Missouri,2020-04-12 00:00:01,10.285714285714286
10,2020-04-12,Missouri,2020-04-12 00:00:01,9.285714285714286
