day,report_date,state,case_avg,factor_var
0,2020-03-20,Missouri,9.714285714285714,Missouri
1,2020-03-21,Missouri,12.428571428571429,Missouri
2,2020-03-22,Missouri,17.714285714285715,Missouri
3,2020-03-23,Missouri,24.714285714285715,Missouri
4,2020-03-24,Missouri,28.428571428571427,Missouri
5,2020-03-25,Missouri,51.285714285714285,Missouri
6,2020-03-26,Missouri,67.57142857142857,Missouri
7,2020-03-27,Missouri,85.14285714285714,Missouri
8,2020-03-28,Missouri,106,Missouri
9,2020-03-29,Missouri,109.57142857142857,Missouri
10,2020-03-30,Missouri,122.28571428571429,Missouri
11,2020-03-31,Missouri,162,Missouri
12,2020-04-01,Missouri,149.57142857142858,Missouri
13,2020-04-02,Missouri,189.14285714285714,Missouri
14,2020-04-03,Missouri,206,Missouri
15,2020-04-04,Missouri,206.85714285714286,Missouri
16,2020-04-05,Missouri,209.85714285714286,Missouri
17,2020-04-06,Missouri,240.14285714285714,Missouri
18,2020-04-07,Missouri,240.57142857142858,Missouri
19,2020-04-08,Missouri,271,Missouri
20,2020-04-09,Missouri,243.57142857142858,Missouri
21,2020-04-10,Missouri,240.57142857142858,Missouri
22,2020-04-11,Missouri,248.28571428571428,Missouri
23,2020-04-12,Missouri,255.71428571428572,Missouri
24,2020-04-13,Missouri,238.42857142857142,Missouri
25,2020-04-14,Missouri,236,Missouri
26,2020-04-15,Missouri,224.42857142857142,Missouri
27,2020-04-16,Missouri,224.57142857142858,Missouri
28,2020-04-17,Missouri,212.14285714285714,Missouri
29,2020-04-18,Missouri,213.57142857142858,Missouri
30,2020-04-19,Missouri,215.85714285714286,Missouri
31,2020-04-20,Missouri,202.57142857142858,Missouri
32,2020-04-21,Missouri,179.42857142857142,Missouri
33,2020-04-22,Missouri,177,Missouri
34,2020-04-23,Missouri,172.85714285714286,Missouri
35,2020-04-24,Missouri,192,Missouri
36,2020-04-25,Missouri,187,Missouri
37,2020-04-26,Missouri,190.14285714285714,Missouri
38,2020-04-27,Missouri,195,Missouri
39,2020-04-28,Missouri,195,Missouri
40,2020-04-29,Missouri,184.57142857142858,Missouri
