Month Code,Deaths
1999/01,5011
1999/02,4778
1999/03,5443
1999/04,4689
1999/05,4512
1999/06,4179
1999/07,4419
1999/08,4134
1999/09,4266
1999/10,4591
1999/11,4583
1999/12,5326
2000/01,6023
2000/02,4654
2000/03,4646
2000/04,4324
2000/05,4168
2000/06,4047
2000/07,4286
2000/08,4249
2000/09,4333
2000/10,4415
2000/11,4557
2000/12,5163
2001/01,5073
2001/02,4526
2001/03,4933
2001/04,4572
2001/05,4539
2001/06,4310
2001/07,4403
2001/08,4209
2001/09,4292
2001/10,4619
2001/11,4609
2001/12,4897
2002/01,5084
2002/02,4704
2002/03,5313
2002/04,4632
2002/05,4563
2002/06,4319
2002/07,4395
2002/08,4386
2002/09,4323
2002/10,4529
2002/11,4521
2002/12,5171
2003/01,5134
2003/02,4577
2003/03,4805
2003/04,4432
2003/05,4551
2003/06,4322
2003/07,4361
2003/08,4351
2003/09,4196
2003/10,4524
2003/11,4519
2003/12,5810
2004/01,5378
2004/02,4527
2004/03,4644
2004/04,4521
2004/05,4459
2004/06,4081
2004/07,4216
2004/08,4251
2004/09,4216
2004/10,4505
2004/11,4377
2004/12,4775
2005/01,4754
2005/02,4671
2005/03,5501
2005/04,4607
2005/05,4483
2005/06,4156
2005/07,4247
2005/08,4314
2005/09,4226
2005/10,4441
2005/11,4374
2005/12,4882
2006/01,5015
2006/02,4735
2006/03,5037
2006/04,4344
2006/05,4469
2006/06,4210
2006/07,4330
2006/08,4335
2006/09,4300
2006/10,4558
2006/11,4567
2006/12,4781
2007/01,5024
2007/02,4660
2007/03,4836
2007/04,4464
2007/05,4425
2007/06,4104
2007/07,4409
2007/08,4254
2007/09,4328
2007/10,4355
2007/11,4447
2007/12,4860
2008/01,5315
2008/02,5467
2008/03,5621
2008/04,4659
2008/05,4547
2008/06,4119
2008/07,4378
2008/08,4246
2008/09,4401
2008/10,4406
2008/11,4563
2008/12,4856
2009/01,5017
2009/02,4426
2009/03,4778
2009/04,4541
2009/05,4463
2009/06,4313
2009/07,4334
2009/08,4306
2009/09,4181
2009/10,4656
2009/11,4443
2009/12,4805
2010/01,4958
2010/02,4459
2010/03,4951
2010/04,4615
2010/05,4461
2010/06,4259
2010/07,4463
2010/08,4325
2010/09,4317
2010/10,4738
2010/11,4575
2010/12,5160
2011/01,5118
2011/02,4662
2011/03,4949
2011/04,4492
2011/05,4741
2011/06,4387
2011/07,4593
2011/08,4513
2011/09,4324
2011/10,4689
2011/11,4547
2011/12,4833
2012/01,5030
2012/02,4618
2012/03,5081
2012/04,4463
2012/05,4470
2012/06,4404
2012/07,4540
2012/08,4492
2012/09,4371
2012/10,4772
2012/11,4711
2012/12,5142
2013/01,5762
2013/02,4817
2013/03,5197
2013/04,4808
2013/05,4583
2013/06,4381
2013/07,4438
2013/08,4617
2013/09,4455
2013/10,4706
2013/11,4637
2013/12,5043
2014/01,5294
2014/02,4528
2014/03,5178
2014/04,4766
2014/05,4737
2014/06,4652
2014/07,4637
2014/08,4612
2014/09,4481
2014/10,4879
2014/11,4936
2014/12,5620
2015/01,5844
2015/02,5054
2015/03,5485
2015/04,4968
2015/05,4894
2015/06,4588
2015/07,4793
2015/08,4669
2015/09,4692
2015/10,4944
2015/11,4872
2015/12,5068
2016/01,5341
2016/02,4854
2016/03,5220
2016/04,5070
2016/05,4825
2016/06,4795
2016/07,4830
2016/08,4838
2016/09,4651
2016/10,5013
2016/11,4876
2016/12,5560
2017/01,6064
2017/02,5280
2017/03,5604
2017/04,4821
2017/05,4949
2017/06,4785
2017/07,4928
2017/08,4920
2017/09,4822
2017/10,5033
2017/11,5015
2017/12,5655
2018/01,6677
2018/02,5418
2018/03,5527
2018/04,5194
2018/05,5052
2018/06,4838
2018/07,4828
2018/08,5087
2018/09,4859
2018/10,5204
2018/11,5056
2018/12,5377
2019/1,5575
2019/2,5072
2019/3,5558
2019/4,4985
2019/5,5201
2019/6,4967
2019/7,5125
2019/8,4951
2019/9,4915
2019/10,4922
2019/11,5269
2019/12,5401
2020/1,5681
2020/2,5369
