report_date,zip,geoid,county,state,last_update,confirmed
2020-04-01,63101,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63102,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63103,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,22
2020-04-01,63104,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,7
2020-04-01,63105,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63106,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,12
2020-04-01,63107,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,10
2020-04-01,63108,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,11
2020-04-01,63109,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,5
2020-04-01,63110,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,7
2020-04-01,63111,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,5
2020-04-01,63112,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,13
2020-04-01,63113,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,11
2020-04-01,63115,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,22
2020-04-01,63116,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,14
2020-04-01,63117,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63118,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,12
2020-04-01,63119,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63120,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,8
2020-04-01,63123,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63125,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63130,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63133,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63136,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63137,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63139,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,7
2020-04-01,63143,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
2020-04-01,63147,29510,St. Louis City,Missouri,2020-04-01T22:00:00Z,NA
